date,temp_in_Basilea,Basilea.1
01-01-2008/01:00,-0.10947134,0.0
01-01-2008/02:00,1.9005287,0.0
01-01-2008/03:00,1.6105287,0.0
01-01-2008/04:00,1.1105287,0.0
01-01-2008/05:00,0.8205287,0.0
01-01-2008/06:00,0.55052865,0.0
01-01-2008/07:00,0.22052866,0.0
01-01-2008/08:00,-0.38947132,0.0
01-01-2008/09:00,-0.69947135,0.0
01-01-2008/10:00,0.18052867,0.0
01-01-2008/11:00,0.93052864,0.0
01-01-2008/12:00,1.4405286,0.0
01-01-2008/13:00,2.0905285,0.0
01-01-2008/14:00,2.9105287,0.0
01-01-2008/15:00,3.5305285,0.0
01-01-2008/16:00,3.7905285,0.0
01-01-2008/17:00,3.5405285,0.0
01-01-2008/18:00,3.4605286,0.0
01-01-2008/19:00,2.8805285,0.0
01-01-2008/20:00,2.1005285,0.0
01-01-2008/21:00,0.85052866,0.0
01-01-2008/22:00,0.38052866,0.0
01-01-2008/23:00,0.040528655,0.0
02-01-2008/00:00,-0.17947134,0.0
02-01-2008/01:00,-0.75947136,0.0
02-01-2008/02:00,-1.5894713,0.0
02-01-2008/03:00,-2.2894714,0.0
02-01-2008/04:00,-2.9194715,0.0
02-01-2008/05:00,-3.6094716,0.0
02-01-2008/06:00,-3.5494714,0.0
02-01-2008/07:00,-3.8294713,0.0
02-01-2008/08:00,-4.0394716,0.0
02-01-2008/09:00,-3.8194714,0.0
02-01-2008/10:00,-2.8394713,0.0
02-01-2008/11:00,-1.3894713,0.0
02-01-2008/12:00,0.050528657,0.0
02-01-2008/13:00,1.1705287,0.0
02-01-2008/14:00,2.2505286,0.0
02-01-2008/15:00,2.5705285,0.0
02-01-2008/16:00,2.6105285,0.0
02-01-2008/17:00,2.1405284,0.0
02-01-2008/18:00,1.6905286,0.0
02-01-2008/19:00,0.90052867,0.0
02-01-2008/20:00,0.37052867,0.0
02-01-2008/21:00,0.12052866,0.0
02-01-2008/22:00,-0.30947134,0.0
02-01-2008/23:00,-0.7294713,0.0
03-01-2008/00:00,-0.69947135,0.0
03-01-2008/01:00,-0.62947136,0.0
